weeknr,week,lec,leclink,lab,lablink
0,Week 0,No Lecture,,Install or update R/Rstudio,https://uoepsy.github.io/files/install-update-r.html
1.01,Week 1,,,1A: Clustered Data,https://uoepsy.github.io/msmr/2324/labs/01a_clustered.html
,,,,1B: LMM,https://uoepsy.github.io/msmr/2324/labs/01b_lmm.html
,,,,Exercises,
1.02,Week 2,,,,
1.03,Week 3,,,,
1.04,Week 4,,,,
1.05,Week 5,,,,
1.06,Week 6,,,,
1.07,Week 7,,,,
1.08,Week 8,,,,
1.09,Week 9,,,,
1.1,Week 10,,,,
1.11,Week 11,,,,
2.1,Additional Docs,,,lm troubleshooting,https://uoepsy.github.io/msmr/2324/labs/00_lm_assumpt.html
